[2025-06-16 02:25:34] [INFO    ] discord.client: logging in using static token
[2025-06-16 02:25:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-06-16 02:25:34] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-06-16 02:25:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '942640953401946132', 'username': 'ShmingoBot', 'avatar': '88f85c66e3b6ccbf0d0134aeb3a738d6', 'discriminator': '9443', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-06-16 02:25:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-06-16 02:25:34] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-06-16 02:25:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '942640953401946132', 'name': 'WhitelistBot', 'icon': '88f85c66e3b6ccbf0d0134aeb3a738d6', 'description': 'A bot that has has a programmable schedule, and pings users when dates are approaching', 'type': None, 'bot': {'id': '942640953401946132', 'username': 'ShmingoBot', 'avatar': '88f85c66e3b6ccbf0d0134aeb3a738d6', 'discriminator': '9443', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands', 'bot'], 'permissions': '543380987968'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands', 'bot'], 'permissions': '543380987968'}}}, 'verify_key': '8e1ee5ded20d28853898dd40ca2fd10396309c57063283c7a2f9a316b8a4b473', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': ['https://discordapp.com/oauth2/authorize?&client_id=942640953401946132&scope=bot'], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '734586967785865256', 'username': 'ea_r_th', 'avatar': '99e1be84acad49c6c557d66d6da343db', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Ea_r_th', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 3, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-06-16 02:25:34] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-06-16 02:25:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-93ck",{"micros":0.0}]']}}
[2025-06-16 02:25:34] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-06-16 02:25:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
